✓,項目,はじめに,動画URL
FALSE,はじめに,マインドセット,https://youtu.be/KF-ESKAvYhA
FALSE,はじめに,心構えのワーク,https://youtu.be/3_SPCuL38x0
FALSE,はじめに,マインド講義,https://youtu.be/V72ZU4nJd_o
FALSE,はじめに,マスターコースのお話,https://youtu.be/xCdX8B0V1U0
FALSE,物販,講師加藤の自己紹介,https://youtu.be/Q6Vns2_TnU0
FALSE,物販,物販コンテンツ概要,https://youtu.be/YlwfG_tamv4
FALSE,物販,物販情報,https://youtu.be/vPw4JKmxNcQ
FALSE,物販,利益管理表の使い方,"https://youtu.be/PVlti__xiP4
🔻管理表（個人用）コピーして使用
https://docs.google.com/spreadsheets/d/1ren3LDqIAcSIz42thuVoaoHU9yd8H7dhFKK_50pxToM/edit?usp=sharing"
FALSE,MNP,メカニズム,https://youtu.be/EcIW30QG9WY
FALSE,MNP,MNPとは？,https://youtu.be/7jDqPiD9TEY
FALSE,MNP,プロセス,https://youtu.be/DJzddMT0uOo
FALSE,MNP,手配師,https://youtu.be/lTecAOxPgWE
FALSE,MNP,専門用語,https://youtu.be/hLx5I2rPd6I
FALSE,MNP,流れ・課題,https://youtu.be/Tzh9soBB-nk
FALSE,光回線,光回線運用法,https://youtu.be/OXGIoSWpnfU
FALSE,光回線,基礎知識,https://youtu.be/FCtcXizZoM0
FALSE,光回線,契約,https://youtu.be/AWiOfHLar4M
FALSE,iPhone,概要,https://youtu.be/-I17ocAGHKA
FALSE,iPhone,買取屋,https://youtu.be/Pknrqh4u0jU
FALSE,iPhone,購入タイミング,https://youtu.be/unPDYSMhShk
FALSE,iPhone,端末購入,https://youtu.be/6T_elWByXtk
FALSE,iPhone,クレカ用意,https://youtu.be/TVnJMW9sSms
FALSE,iPhone,デビットカード,https://youtu.be/4sltkq-ErIc
FALSE,iPhone,AppleIDの作成,https://youtu.be/_ouvzYSdVoQ
FALSE,iPhone,連携,https://youtu.be/MKYHL_iUB4k
FALSE,iPhone,Appleギフト,https://youtu.be/hqePNdNL3Cg
FALSE,iPhone,2025年新型iPhone伝達,https://youtu.be/FgIfwt0fx4I
FALSE,全体zoom,8月30日,https://youtu.be/2eZC5inbeQE
FALSE,全体zoom,9月24日,https://youtu.be/OvNhlOurR-w
FALSE,全体zoom,10月23日,https://youtu.be/cdFEPEPh6SA
FALSE,全体zoom,11月23日,https://youtu.be/CPrMqdiN_54
FALSE,全体zoom,12月27日,https://youtu.be/83Gk5BJTJKE
FALSE,全体zoom,2月26日,https://youtu.be/NtEPxnHyJmc
FALSE,全体zoom,3月27日,https://youtu.be/xXtaJvZ5GLc
FALSE,全体zoom,4月25日,https://youtu.be/QIASQjfUqq0
FALSE,全体zoom,5月27日,https://youtu.be/w8JB2kqME68
FALSE,全体zoom,7月29日,https://youtu.be/xKeW9ZUmOQ8
FALSE,全体zoom,8月30日,https://youtu.be/55yAG7oxrqk
FALSE,全体zoom,9月29日,https://youtu.be/MT-6C_pIKZw
FALSE,全体zoom,10月24日,https://youtu.be/UB38gDPC_Qo
FALSE,全体zoom,11月21日,https://youtu.be/c5uv6UuHmC8
FALSE,全体zoom,12月19日,https://youtu.be/J_4T8XcLuhw
FALSE,,,
FALSE,,,
FALSE,,,
FALSE,,,
FALSE,,,
FALSE,,,
FALSE,,,
FALSE,,,
